,name,count,probability,cumulative_probability
2192,FENTON,15220,0.00010251962454295832,0.0903976960539799
2191,DOWELL,15226,0.00010256003963804753,0.09050025609361795
2190,GOODSON,15229,0.00010258024718559213,0.09060283634080354
2189,BOUDREAUX,15240,0.00010265434152658902,0.09070549068233014
2188,YI,15254,0.0001027486434151305,0.09080823932574526
2187,RUFFIN,15263,0.00010280926605776432,0.09091104859180303
2186,REDDING,15264,0.00010281600190694585,0.09101386459370998
2185,LONDON,15265,0.00010282273775612739,0.0911166873314661
2184,COATS,15265,0.00010282273775612739,0.09121951006922223
2183,BARROW,15277,0.0001029035679463058,0.09132241363716853
2182,ESCAMILLA,15278,0.00010291030379548733,0.09142532394096402
2181,JERNIGAN,15298,0.00010304502077911802,0.09152836896174314
2178,BURNHAM,15299,0.00010305175662829956,0.09163142071837144
2180,SILVERMAN,15299,0.00010305175662829956,0.09173447247499973
2179,MCNAIR,15299,0.00010305175662829956,0.09183752423162803
2177,KELLOGG,15302,0.00010307196417584416,0.09194059619580387
2176,SOTELO,15308,0.00010311237927093337,0.09204370857507481
2175,CORNETT,15314,0.00010315279436602258,0.09214686136944084
2174,BEAVERS,15316,0.00010316626606438565,0.09225002763550522
2173,TELLEZ,15320,0.00010319320946111178,0.09235322084496633
2172,TITUS,15321,0.00010319994531029333,0.09245642079027662
2171,JEAN,15321,0.00010319994531029333,0.0925596207355869
2170,BORDEN,15342,0.00010334139814310556,0.09266296213373001
2169,EARL,15347,0.00010337507738901323,0.09276633721111903
2168,KINSEY,15357,0.00010344243588082857,0.09286977964699986
2167,IVERSON,15366,0.00010350305852346239,0.09297328270552332
2166,LOMBARDO,15368,0.00010351653022182546,0.09307679923574515
2164,ANDERS,15375,0.0001035636811660962,0.09318036291691124
2165,RENDON,15375,0.0001035636811660962,0.09328392659807734
2163,PARHAM,15387,0.00010364451135627461,0.09338757110943362
2162,BRUNER,15404,0.0001037590207923607,0.09349133013022598
2161,NICKERSON,15409,0.00010379270003826839,0.09359512283026425
2160,BUSBY,15424,0.0001038937377759914,0.09369901656804024
2159,HUTSON,15430,0.0001039341528710806,0.09380295072091131
2158,HOGUE,15442,0.00010401498306125902,0.09390696570397257
2157,SAMS,15446,0.00010404192645798516,0.09401100763043055
2156,SCHAEFFER,15448,0.00010405539815634823,0.0941150630285869
2155,HILLMAN,15448,0.00010405539815634823,0.09421911842674324
2154,GRUBBS,15453,0.00010408907740225591,0.0943232075041455
2153,ROWELL,15457,0.00010411602079898205,0.09442732352494448
2152,THAO,15463,0.00010415643589407126,0.09453147996083855
2151,BARON,15464,0.00010416317174325278,0.0946356431325818
2150,SAUER,15474,0.00010423053023506814,0.09473987366281687
2149,RUTH,15481,0.00010427768117933888,0.09484415134399621
2148,COREY,15488,0.00010432483212360963,0.09494847617611982
2147,LAI,15490,0.0001043383038219727,0.0950528144799418
2146,HORVATH,15538,0.00010466162458268636,0.09515747610452448
2145,NAGY,15545,0.00010470877552695711,0.09526218488005143
2144,SAYLOR,15547,0.00010472224722532018,0.09536690712727676
2143,BARNEY,15556,0.00010478286986795398,0.09547168999714471
2142,TILLEY,15560,0.00010480981326468012,0.09557649981040939
2141,COY,15561,0.00010481654911386166,0.09568131635952325
2140,SCRUGGS,15562,0.00010482328496304319,0.09578613964448629
2139,CHEEK,15566,0.00010485022835976933,0.09589098987284606
2138,VALDES,15567,0.00010485696420895087,0.095995846837055
2137,TRIMBLE,15576,0.00010491758685158467,0.0961007644239066
